year	month	day	hour	min	sec	close hour	min	sec	open hour	min	sec	camb	css	flux
2014	7	22	4	24	58.535	3	43	29	3	42	59	19.113	21.357	0.031226
2014	7	22	5	28	52.535	4	47	22	4	46	52	11.892	27.249	0.21374
2014	7	22	6	32	45.635	5	51	16	5	50	45	15.849	10.574	-0.073417
2014	7	22	7	36	39.635	6	55	10	6	54	40	11.502	17.158	0.07872
2014	7	22	8	40	29.135	7	59	2	7	58	31	30.335	30.127	-0.0028946
2014	7	22	9	44	19.535	9	2	51	9	2	20	37.92	28.625	-0.12937
2014	7	22	10	48	14.435	10	6	40	10	6	10	49.443	38.084	-0.1581
2014	7	22	11	52	19.235	11	10	39	11	10	9	61.38	43.483	-0.24911
2014	7	22	14	27	37.532	13	46	13	13	45	42	38.647	40.05	0.019528
2014	7	22	15	31	21.632	14	49	58	14	49	27	66.704	45.881	-0.28982
2014	7	22	16	35	5.732	15	53	41	15	53	11	73.781	41.79	-0.44527
2014	7	22	17	38	49.832	16	57	25	16	56	55	35.399	50.341	0.20797
2014	7	22	18	42	34.832	18	1	10	18	0	39	46.838	56.434	0.13356
2014	7	22	19	46	13.532	19	4	52	19	4	22	71.833	53.559	-0.25434
2014	7	22	20	49	52.232	20	8	30	20	7	59	31.863	43.476	0.16164
2014	7	22	21	53	48.932	21	12	15	21	11	44	16.976	19.564	0.036027
2014	7	22	22	57	44.732	22	16	11	22	15	41	18.745	25.286	0.091039
2014	7	23	0	1	50.432	23	20	11	23	19	40	20.007	30.165	0.14139
2014	7	23	1	5	45.332	0	24	13	0	23	43	17.417	24.648	0.10064
2014	7	23	2	9	40.232	1	28	8	1	27	38	23.425	32.361	0.12437
2014	7	23	3	13	34.232	2	32	4	2	31	33	27.487	26.698	-0.010974
2014	7	23	4	17	26.432	3	35	57	3	35	27	30.111	20.222	-0.13764
2014	7	23	5	21	20.432	4	39	50	4	39	20	28.492	6.892	-0.30064
2014	7	23	6	25	12.632	5	43	43	5	43	13	18.726	8.4045	-0.14366
2014	7	23	7	28	56.732	6	47	33	6	47	2	14.122	14.757	0.0088352
2014	7	23	8	32	42.632	7	51	17	7	50	47	17.165	24.184	0.097691
2014	7	23	9	36	30.332	8	55	4	8	54	34	33.384	29.5	-0.05406
2014	7	23	10	40	22.532	9	58	51	9	58	21	47.058	32.597	-0.20127
2014	7	23	11	44	18.332	11	2	46	11	2	15	49.733	34.779	-0.20813
2014	7	23	12	48	18.632	12	6	43	12	6	12	67.391	39.596	-0.38687
2014	7	23	13	52	21.632	13	10	43	13	10	13	82.948	49.567	-0.4646
2014	7	23	14	56	23.732	14	14	46	14	14	16	76.146	53.376	-0.31693
2014	7	23	16	0	20.432	15	18	45	15	18	15	76	48.186	-0.38713
2014	7	23	17	4	20.732	16	22	45	16	22	15	60.976	49.22	-0.16363
2014	7	23	18	8	18.332	17	26	45	17	26	14	51.288	36.566	-0.20491
2014	7	23	19	12	17.732	18	30	44	18	30	13	42.619	30.58	-0.16756
2014	7	23	20	16	17.132	19	34	42	19	34	12	44.987	34.545	-0.14533
2014	7	23	21	20	20.132	20	38	45	20	38	14	45.301	37.979	-0.10192
2014	7	23	22	24	28.532	21	42	48	21	42	18	34.732	29.17	-0.077419
2014	7	23	23	28	39.632	22	46	58	22	46	27	29.359	25.536	-0.053221
2014	7	24	0	32	45.332	23	51	9	23	50	39	14.913	25.408	0.14607
2014	7	24	1	36	44.732	0	55	11	0	54	41	14.604	9.1023	-0.076572
2014	7	24	2	40	43.232	1	59	10	1	58	39	11.77	17.629	0.081544
2014	7	24	3	44	38.132	3	3	7	3	2	36	13.851	16.836	0.041543
2014	7	24	4	48	33.932	4	7	2	4	6	32	19.341	20.441	0.01531
2014	7	24	5	52	32.432	5	10	57	5	10	27	20.896	15.789	-0.071082
2014	7	24	6	56	31.832	6	14	56	6	14	26	19.704	6.6863	-0.18118
2014	7	24	8	0	24.932	7	18	54	7	18	23	33.954	16.487	-0.24312
2014	7	24	9	4	21.632	8	22	48	8	22	18	21.7	16.666	-0.070067
2014	7	24	10	8	18.332	9	26	45	9	26	14	31.244	31.167	-0.0010686
2014	7	24	11	12	24.932	10	30	46	10	30	15	49.9	29.128	-0.28911
2014	7	24	12	16	30.632	11	34	51	11	34	21	58.67	31.456	-0.37877
2014	7	24	13	20	41.732	12	39	0	12	38	30	59.448	64.47	0.069895
2014	7	24	14	24	51.932	13	43	12	13	42	41	36.618	38.332	0.023851
2014	7	24	15	29	2.132	14	47	20	14	46	49	28.689	41.502	0.17834
2014	7	24	16	33	11.432	15	51	32	15	51	1	53.534	54.876	0.018678
2014	7	24	17	37	18.932	16	55	39	16	55	9	62.773	47.808	-0.20829
2014	7	24	18	41	26.432	17	59	47	17	59	17	58.659	54.672	-0.055498
2014	7	24	19	45	33.932	19	3	54	19	3	24	51.098	31.465	-0.27325
2014	7	24	20	49	41.432	20	8	1	20	7	30	46.736	37.12	-0.13384
2014	7	24	21	53	50.732	21	12	10	21	11	39	26.262	40.291	0.19525
2014	7	24	22	57	58.232	22	16	17	22	15	46	28.431	38.285	0.13715
2014	7	25	0	2	4.832	23	20	25	23	19	54	22.617	36.267	0.18999
2014	7	25	1	6	0.632	0	24	29	0	23	58	19.922	27.712	0.10843
2014	7	25	2	9	57.332	1	28	25	1	27	55	23.261	26.104	0.039562
2014	7	25	3	13	53.132	2	32	22	2	31	52	23.238	31.483	0.11475
2014	7	25	4	17	48.932	3	36	18	3	35	48	23.817	18.95	-0.067746
2014	7	25	5	21	44.732	4	40	13	4	39	43	20.746	10.221	-0.14649
2014	7	25	6	25	39.632	5	44	9	5	43	39	11.246	13.246	0.027846
2014	7	25	7	29	33.632	6	48	4	6	47	33	14.993	9.3257	-0.078887
2014	7	25	8	33	26.732	7	51	56	7	51	26	31.133	27.534	-0.050093
2014	7	25	9	37	20.732	8	55	50	8	55	20	23.45	16.573	-0.09571
2014	7	25	10	4	31.532	9	59	45	9	59	15	33.332	25.453	-0.10966
2014	7	25	16	24	21.651	15	43	1	15	42	31	48.062	40.487	-0.10543
2014	7	25	17	27	58.551	16	46	39	16	46	9	52.657	38.154	-0.20185
2014	7	25	18	31	37.251	17	50	17	17	49	47	28.807	39.32	0.14632
2014	7	25	19	35	20.451	18	53	57	18	53	27	56.074	43.247	-0.17853
2014	7	25	20	39	7.251	19	57	44	19	57	13	52.533	35.741	-0.23371
2014	7	25	21	42	52.251	21	1	27	21	0	57	22.687	38.648	0.22215
2014	7	25	22	46	36.351	22	5	12	22	4	42	22.163	31.309	0.12729
2014	7	25	23	50	22.251	23	8	55	23	8	25	39.598	30.421	-0.12773
2014	7	26	0	53	59.151	0	12	40	0	12	9	43.053	29.445	-0.1894
2014	7	26	1	57	59.451	1	16	24	1	15	53	21.678	35.622	0.19407
2014	7	26	3	1	58.851	2	20	23	2	19	53	21.146	32.611	0.15958
2014	7	26	4	5	57.351	3	24	22	3	23	52	22.882	39.452	0.23063
2014	7	26	5	9	57.651	4	28	22	4	27	52	16.815	16.066	-0.010429
2014	7	26	6	13	54.351	5	32	22	5	31	52	17.957	22.115	0.057882
2014	7	26	7	17	51.951	6	36	19	6	35	48	21.566	35.236	0.19027
2014	7	26	8	21	45.951	7	40	16	7	39	45	12.859	18.167	0.073889
2014	7	26	9	25	38.151	8	44	9	8	43	38	11.093	36.057	0.34747
2014	7	26	10	29	36.651	9	48	1	9	47	31	18.624	25.088	0.089964
2014	7	26	11	33	40.551	10	52	4	10	51	33	24.792	30.173	0.074896
2014	7	26	12	37	43.551	11	56	7	11	55	37	27.744	37.641	0.13774
2014	7	26	13	41	49.251	13	0	12	12	59	41	34.98	41.699	0.093528
2014	7	26	14	45	57.651	14	4	17	14	3	47	35.001	46.33	0.15769
2014	7	26	15	50	4.251	15	8	24	15	7	54	34.315	43.995	0.13473
2014	7	26	16	54	6.351	16	12	29	16	11	58	35.523	43.691	0.11368
2014	7	26	17	58	9.351	17	16	32	17	16	1	39.867	42.319	0.03412
2014	7	26	19	2	11.451	18	20	34	18	20	4	50.51	43.541	-0.096991
2014	7	26	20	6	18.951	19	24	38	19	24	8	45.067	32.461	-0.17546
2014	7	26	21	10	28.251	20	28	47	20	28	17	52.045	28.562	-0.32685
2014	7	26	22	14	38.451	21	32	57	21	32	27	49.031	40.359	-0.12071
2014	7	26	23	18	48.651	22	37	8	22	36	37	25.805	37.416	0.1616
2014	7	27	0	22	54.351	23	41	18	23	40	47	16.934	7.8645	-0.12623
2014	7	27	1	26	51.951	0	45	20	0	44	49	7.7917	5.4689	-0.032329
2014	7	27	2	30	49.551	1	49	16	1	48	46	9.2043	6.1804	-0.042088
2014	7	27	3	34	46.251	2	53	15	2	52	44	11.128	14.628	0.048714
2014	7	27	4	38	43.851	3	57	11	3	56	41	17.165	14.382	-0.03874
2014	7	27	5	42	40.551	5	1	8	5	0	38	12.361	12.773	0.0057408
2014	7	27	6	46	29.151	6	5	2	6	4	31	25.585	20.861	-0.065752
2014	7	27	7	50	13.251	7	8	47	7	8	17	25.6	16.496	-0.12672
2014	7	27	8	54	3.651	8	12	32	8	12	2	22.252	25.927	0.051152
2014	7	27	9	57	54.951	9	16	25	9	15	54	18.939	28.417	0.13192
2014	7	27	11	1	52.551	10	20	18	10	19	48	17.722	28.546	0.15065
2014	7	27	12	5	50.151	11	24	17	11	23	46	26.398	28.645	0.031285
2014	7	27	13	9	51.351	12	28	16	12	27	45	27.259	33.324	0.084418
2014	7	27	14	13	51.651	13	32	16	13	31	46	29.109	42.204	0.18227
2014	7	27	15	17	51.951	14	36	18	14	35	47	32.439	40.464	0.11171
2014	7	27	16	21	52.251	15	40	18	15	39	48	30.026	41.252	0.15625
2014	7	27	17	25	54.351	16	44	18	16	43	48	35.954	45.013	0.12608
2014	7	27	18	29	54.651	17	48	20	17	47	50	35.877	43.754	0.10963
2014	7	27	19	33	56.751	18	52	21	18	51	51	29.914	42.606	0.17665
2014	7	27	20	37	57.951	19	56	21	19	55	51	27.498	45.933	0.25659
2014	7	27	21	42	5.451	21	0	26	20	59	55	27.52	33.117	0.077901
2014	7	27	22	46	14.751	22	4	33	22	4	3	33.445	30.455	-0.041614
2014	7	27	23	50	22.251	23	8	42	23	8	12	42.095	29.599	-0.17392
2014	7	28	0	54	22.551	0	12	48	0	12	18	30.722	19.98	-0.14951
2014	7	28	1	58	20.151	1	16	46	1	16	15	36.409	23.42	-0.18078
2014	7	28	3	2	17.751	2	20	45	2	20	14	15.588	6.3188	-0.12902
2014	7	28	4	6	12.651	3	24	41	3	24	11	18.225	6.5818	-0.16206
2014	7	28	5	10	5.751	4	28	36	4	28	6	9.9993	6.3051	-0.051418
2014	7	28	6	13	55.251	5	32	28	5	31	58	9.7768	11.393	0.022491
2014	7	28	7	17	44.751	6	36	18	6	35	47	13.991	19.998	0.083605
2014	7	28	8	21	30.651	7	40	5	7	39	35	20.485	27.648	0.099697
2014	7	28	9	25	16.551	8	43	51	8	43	21	39.583	32.432	-0.099527
2014	7	28	10	29	8.751	9	47	38	9	47	7	44.864	31.757	-0.18243
2014	7	28	11	33	12.651	10	51	36	10	51	5	54.805	44.722	-0.14033
2014	7	28	12	37	16.551	11	55	40	11	55	9	62.498	46.204	-0.22679
2014	7	28	13	20	3.351	12	59	44	12	59	14	75.885	45.487	-0.42309
2014	7	28	16	15	53.383	15	34	29	15	33	59	73.086	64.764	-0.11582
2014	7	28	17	19	41.983	16	38	14	16	37	44	36.159	65.977	0.41502
2014	7	28	18	23	32.383	17	42	4	17	41	34	50.168	48.39	-0.024743
2014	7	28	19	27	20.983	18	45	54	18	45	24	65.586	46.83	-0.26107
2014	7	28	20	31	18.583	19	49	45	19	49	15	46.56	27.384	-0.2669
2014	7	28	21	35	19.783	20	53	44	20	53	14	29.62	24.616	-0.069655
2014	7	28	22	39	20.983	21	57	47	21	57	16	27.852	19.555	-0.11549
2014	7	28	23	43	20.383	23	1	46	23	1	15	25.798	10.68	-0.21042
2014	7	29	0	47	11.683	0	5	44	0	5	14	38.152	33.025	-0.071353
2014	7	29	1	51	11.983	1	9	35	1	9	5	20.257	11.249	-0.12538
2014	7	29	2	55	10.483	2	13	34	2	13	4	10.791	5.9947	-0.066756
2014	7	29	3	59	10.783	3	17	34	3	17	4	19.295	14.12	-0.072025
2014	7	29	5	3	8.383	4	21	33	4	21	3	18.718	10.992	-0.10753
2014	7	29	6	7	5.983	5	25	33	5	25	3	17.482	10.317	-0.099717
2014	7	29	7	11	1.783	6	29	29	6	28	59	17.442	22.897	0.075922
2014	7	29	8	14	52.183	7	33	24	7	32	54	19.42	31.942	0.17429
2014	7	29	9	18	44.383	8	37	14	8	36	44	23.456	37.345	0.19332
2014	7	31	10	48	37.473	10	7	14	10	6	43	20.433	23.807	0.046954
2014	7	31	11	52	22.473	11	10	56	11	10	26	47.472	23.69	-0.33101
2014	7	31	12	56	5.673	12	14	39	12	14	9	51.976	24.574	-0.38138
2014	7	31	13	59	42.573	13	18	22	13	17	51	27.855	29.967	0.029397
2014	7	31	15	3	18.573	14	21	59	14	21	28	57.999	30.553	-0.38201
2014	7	31	16	6	56.373	15	25	34	15	25	4	54.76	35.463	-0.26858
2014	7	31	17	10	35.973	16	29	14	16	28	44	34.2	42.17	0.11094
2014	7	31	18	14	15.573	17	32	55	17	32	24	67.786	42.498	-0.35198
2014	7	31	19	18	7.773	18	36	38	18	36	8	66.276	40.977	-0.35212
2014	7	31	20	22	6.273	19	40	33	19	40	3	50.486	11.493	-0.54271
2014	7	31	21	26	10.173	20	44	32	20	44	2	14.857	8.3712	-0.090269
2014	7	31	22	30	15.873	21	48	37	21	48	7	29.781	19.398	-0.14452
2014	7	31	23	34	22.473	22	52	43	22	52	13	31.414	21.159	-0.14273
2014	8	1	0	38	17.373	23	56	51	23	56	21	34.255	20.37	-0.19326
2014	8	1	1	42	4.173	1	0	38	1	0	8	31.981	18.195	-0.19187
2014	8	1	2	45	49.173	2	4	24	2	3	53	12.933	16.661	0.051899
2014	8	1	3	49	34.173	3	8	8	3	7	38	7.6515	9.6636	0.028005
2014	8	1	4	53	21.873	4	11	53	4	11	23	24.055	17.408	-0.092515
2014	8	1	5	57	7.773	5	15	41	5	15	10	23.545	12.851	-0.14885
2014	8	1	7	0	51.873	6	19	27	6	18	56	7.6336	7.603	-0.00042531
2014	8	1	8	4	28.773	7	23	7	7	22	37	15.137	17.359	0.030937
2014	8	1	9	8	4.773	8	26	46	8	26	15	30.691	19.811	-0.15143
2014	8	1	10	11	44.373	9	30	22	9	29	52	27.139	34.778	0.10632
2014	8	1	11	15	37.473	10	34	8	10	33	37	29.626	30.593	0.013467
2014	8	1	12	19	30.573	11	38	2	11	37	31	47.58	43.449	-0.057487
2014	8	1	13	23	25.473	12	41	54	12	41	24	54.446	31.793	-0.31529
2014	8	1	14	27	21.273	13	45	49	13	45	19	61.481	41.182	-0.28253
2014	8	1	15	31	17.973	14	49	46	14	49	16	56.958	36.336	-0.28703
2014	8	1	16	35	11.973	15	53	41	15	53	11	60.38	34.157	-0.36499
2014	8	1	17	39	6.873	16	57	35	16	57	5	49.193	36.861	-0.17164
2014	8	1	18	43	0.873	18	1	31	18	1	0	34.211	39.659	0.075824
2014	8	1	19	46	54.873	19	5	23	19	4	53	26.97	33.622	0.092579
2014	8	1	20	50	51.573	20	9	16	20	8	46	18.441	22.945	0.062696
2014	8	1	21	54	52.773	21	13	16	21	12	45	18.002	21.936	0.054756
2014	8	1	22	58	52.173	22	17	17	22	16	46	17.891	26.75	0.1233
2014	8	2	0	2	55.173	23	21	18	23	20	47	10.984	16.391	0.075254
2014	8	2	1	6	48.273	0	25	18	0	24	47	13.186	19.111	0.082467
2014	8	2	2	10	40.473	1	29	11	1	28	40	7.1295	7.5023	0.0051878
2014	8	2	3	14	34.473	2	33	4	2	32	34	14.098	13.574	-0.0072907
2014	8	2	4	18	25.773	3	36	57	3	36	27	13.507	9.7119	-0.052819
2014	8	2	5	22	17.973	4	40	48	4	40	18	14.541	5.0932	-0.1315
2014	8	2	6	26	7.473	5	44	39	5	44	9	22.775	13.683	-0.12654
2014	8	2	7	29	51.573	6	48	29	6	47	58	9.1978	11.691	0.0347
2014	8	2	8	33	32.973	7	52	11	7	51	41	17.109	21.202	0.056971
2014	8	2	9	37	18.873	8	55	53	8	55	22	47.213	41.173	-0.084069
2014	8	2	10	41	16.473	9	59	40	9	59	10	54.432	45.917	-0.11852
2014	8	2	11	45	14.973	11	3	42	11	3	11	54.983	36.544	-0.25664
2014	8	2	12	49	11.673	12	7	38	12	7	7	59.662	36.834	-0.31774
2014	8	2	13	35	30.873	13	11	35	13	11	5	48.285	35.052	-0.18418
2014	8	2	16	4	17.932	15	23	0	15	22	30	57.907	38.58	-0.26899
2014	8	2	17	7	51.232	16	26	33	16	26	3	49.939	44.08	-0.081556
2014	8	2	18	11	23.632	17	30	7	17	29	37	41.804	47.882	0.084588
2014	8	2	19	14	55.132	18	33	40	18	33	9	73.777	70.159	-0.050359
2014	8	2	20	18	24.832	19	37	10	19	36	40	26.041	42.891	0.23453
2014	8	2	21	22	3.532	20	40	44	20	40	13	33.8	26.843	-0.096828
2014	8	2	22	25	43.132	21	44	23	21	43	52	15.252	20.493	0.072945
2014	8	2	23	29	34.432	22	48	6	22	47	35	14.625	15.759	0.015785
2014	8	3	0	33	20.332	23	51	57	23	51	27	23.086	5.3455	-0.24692
2014	8	3	1	37	13.432	0	55	44	0	55	14	28.636	19.007	-0.13403
2014	8	3	2	41	7.432	1	59	37	1	59	7	26.177	22.87	-0.046026
2014	8	3	3	45	1.432	3	3	29	3	2	59	17.543	12.916	-0.064407
2014	8	3	4	48	48.232	4	7	21	4	6	51	14.025	20.036	0.083669
2014	8	3	5	52	32.332	5	11	7	5	10	37	19.17	8.7258	-0.14537
2014	8	3	6	56	19.132	6	14	52	6	14	22	25.589	8.0545	-0.24405
2014	8	3	8	0	2.332	7	18	38	7	18	7	30.085	25.051	-0.070073
2014	8	3	9	3	42.832	8	22	19	8	21	49	20.472	34.463	0.19473
2014	8	3	10	7	28.732	9	26	2	9	25	32	36.252	35.263	-0.013771
2014	8	3	11	11	25.432	10	29	53	10	29	23	51.96	36.116	-0.22052
2014	8	3	12	15	23.932	11	33	50	11	33	20	60.673	47.224	-0.18718
2014	8	3	13	19	24.232	12	37	49	12	37	19	75.63	118.45	0.59593
2014	8	3	14	23	21.832	13	41	49	13	41	18	73.238	46.305	-0.37486
2014	8	3	15	27	22.132	14	45	47	14	45	17	71.133	53.37	-0.24722
2014	8	3	16	31	25.132	15	49	48	15	49	18	81.23	58.723	-0.31326
2014	8	3	17	35	26.332	16	53	52	16	53	21	78.307	47.317	-0.43132
2014	8	3	18	39	26.632	17	57	53	17	57	23	79.654	50.498	-0.4058
2014	8	3	19	43	23.332	19	1	51	19	1	21	79.152	75.792	-0.046768
2014	8	3	20	47	23.632	20	5	46	20	5	16	54.555	17.008	-0.52258
2014	8	3	21	51	28.432	21	9	49	21	9	18	29.881	12.732	-0.23869
2014	8	3	22	55	34.132	22	13	54	22	13	24	28.068	6.2303	-0.30395
2014	8	3	23	59	41.632	23	18	1	23	17	31	30.57	20.157	-0.14494
2014	8	4	1	3	36.532	0	22	4	0	21	33	27.214	20.663	-0.091187
2014	8	4	2	7	32.332	1	26	0	1	25	30	31.862	22.014	-0.13708
2014	8	4	3	11	27.232	2	29	58	2	29	28	32.402	19.116	-0.18493
2014	8	4	4	15	15.832	3	33	48	3	33	18	30.364	18.909	-0.15943
2014	8	4	5	19	8.932	4	37	39	4	37	8	25.581	4.8515	-0.28853
2014	8	4	6	23	2.932	5	41	32	5	41	1	19.595	26.7	0.098884
2014	8	4	7	26	52.432	6	45	26	6	44	56	13.536	24.575	0.15364
2014	8	4	8	30	39.232	7	49	14	7	48	43	18.5	23.545	0.070225
2014	8	4	9	34	28.732	8	53	1	8	52	31	27.802	28.986	0.016481
2014	8	4	10	38	27.232	9	56	51	9	56	21	51.543	37.439	-0.19631
2014	8	4	11	42	31.132	11	0	54	11	0	24	67.001	51.164	-0.22043
2014	8	4	12	46	38.632	12	4	59	12	4	28	67.339	57.871	-0.13177
2014	8	4	13	50	44.332	13	9	6	13	8	35	44.969	56.41	0.15924
2014	8	4	14	54	49.132	14	13	10	14	12	40	34.28	45.652	0.15829
2014	8	4	15	58	55.732	15	17	15	15	16	45	35.971	40.4	0.061642
2014	8	4	17	2	58.732	16	21	20	16	20	50	32.805	51.677	0.26267
2014	8	4	18	7	0.832	17	25	23	17	24	53	27.858	47.189	0.26905
2014	8	4	19	11	3.832	18	29	27	18	28	56	26.208	48.23	0.30651
2014	8	4	20	15	9.532	19	33	31	19	33	1	33.834	51.684	0.24844
2014	8	4	21	19	18.832	20	37	39	20	37	9	31.882	13.1	-0.26141
2014	8	4	22	23	27.232	21	41	47	21	41	16	31.124	25.295	-0.081127
2014	8	4	23	27	34.732	22	45	56	22	45	25	27.608	20.533	-0.098473
2014	8	5	0	31	32.332	23	50	2	23	49	31	27.458	23.369	-0.056907
2014	8	5	1	35	27.232	0	53	57	0	53	26	30.29	26.914	-0.046985
2014	8	5	2	39	20.332	1	57	50	1	57	19	23.343	6.2114	-0.23845
2014	8	5	3	43	12.532	3	1	43	3	1	13	20.162	16.688	-0.048356
2014	8	5	4	47	1.132	4	5	33	4	5	2	10.083	10.313	0.0031949
2014	8	5	5	50	50.632	5	9	21	5	8	50	9.5417	11.865	0.032339
2014	8	5	15	18	19.509	14	37	1	14	36	30	56.255	37.495	-0.2611
2014	8	5	16	21	59.109	15	40	37	15	40	7	51.978	31.723	-0.28193
2014	8	5	17	25	40.509	16	44	18	16	43	48	24.354	32.654	0.11552
2014	8	5	18	29	15.609	17	47	58	17	47	27	1.0065	0.99493	0
2014	8	5	19	32	48.909	18	51	30	18	50	59	28.602	34.935	0.08814
